ad_id,number_of_bathrooms,number_of_bedrooms,number_of_beds,latitude,longitude,ano,mes,dia,Address
27865733.0,2,3,5.0,-27.10432,-48.61312,2022.0,7.0,11.0,Centro
52200210.0,2,2,2.0,-27.13029,-48.60297,2022.0,7.0,11.0,Meia Praia
53372578.0,2,2,3.0,-27.13658,-48.5972,2022.0,7.0,18.0,Meia Praia
45531969.0,2,3,3.0,-27.13752,-48.5934,2022.0,7.0,25.0,Meia Praia
46724379.0,1,2,6.0,-27.13821,-48.59764,2022.0,12.0,5.0,Meia Praia
46329896.0,4,3,3.0,-27.13171,-48.59954,2022.0,7.0,11.0,Meia Praia
38818200.0,3,4,4.0,-27.12883,-48.59985,2022.0,11.0,28.0,Meia Praia
53280090.0,2,3,3.0,-27.12003,-48.6077,2022.0,7.0,11.0,Meia Praia
51384806.0,2,2,1.0,-27.13958,-48.59739,2022.0,7.0,18.0,Meia Praia
6.903456968306893e+17,4,4,4.0,-27.13758,-48.59494,2022.0,9.0,26.0,Meia Praia
46604124.0,5,12,50.0,-27.13739,-48.60124,2022.0,7.0,25.0,Meia Praia
42239404.0,2,3,5.0,-27.12771,-48.60193,2022.0,12.0,5.0,Meia Praia
51785337.0,2,2,4.0,-27.11956,-48.61128,2022.0,11.0,28.0,Morretes
18735821.0,2,2,3.0,-27.13375,-48.59778,2022.0,11.0,28.0,Meia Praia
47442612.0,2,3,4.0,-27.11868,-48.60867,2022.0,7.0,18.0,Meia Praia
31052131.0,2,3,3.0,-27.12912,-48.607,2022.0,10.0,24.0,Meia Praia
50243281.0,3,3,3.0,-27.12536,-48.60665,2022.0,7.0,18.0,Meia Praia
31052131.0,2,3,3.0,-27.12912,-48.607,2022.0,12.0,5.0,Meia Praia
7.637605551247116e+17,1,1,1.0,-27.12477,-48.60788,2022.0,12.0,5.0,Meia Praia
42270655.0,2,3,5.0,-27.05835,-48.59616,2022.0,11.0,28.0,Ilhota
40843465.0,2,3,3.0,-27.12329,-48.60569,2022.0,9.0,26.0,Meia Praia
40843465.0,2,3,3.0,-27.12329,-48.60569,2022.0,12.0,5.0,Meia Praia
